,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,path
134,Hey Monday,Set Off,2.79,17.14,14.5,13.93,6.07,42.57,36.79,15.79,2.5,0D5q7zxMaeQ9ekjuTQiryo,tracks/0D5q7zxMaeQ9ekjuTQiryo.mp3
135,Above & Beyond,Alchemy,18.35,31.71,7.18,14.47,17.82,21.41,25.47,14.76,9.24,0Xm3H8qUhiUALrZYJyf61f,tracks/0Xm3H8qUhiUALrZYJyf61f.mp3
136,WJSN,HURRY UP,8.5,10.25,9.88,3.25,6.5,57.88,28.62,10.81,1.12,1lAuz7VJzbhhYHTQ11JE12,tracks/1lAuz7VJzbhhYHTQ11JE12.mp3
137,Anathema,Judgement,13.64,11.43,16.71,3.57,6.0,22.93,55.5,43.21,9.79,0jQxDAN0CBuIdAqbR4OnzV,tracks/0jQxDAN0CBuIdAqbR4OnzV.mp3
138,Belleruche,Anything You Want (Not That),13.83,12.25,15.92,14.25,18.17,24.08,10.0,8.33,2.83,41fe96o3cxCfvINxcxEe4R,tracks/41fe96o3cxCfvINxcxEe4R.mp3
139,Lasgo,Alone,1.43,8.64,7.71,5.5,1.71,30.71,26.57,18.71,4.71,6hVdYM1RKjPIYv17KJ6Cll,tracks/6hVdYM1RKjPIYv17KJ6Cll.mp3
140,Evelyn Thomas,High Energy,12.33,8.17,20.5,6.25,6.67,38.33,46.0,23.42,3.83,2O3JCRH7IvUUbzbxEvoVAi,tracks/2O3JCRH7IvUUbzbxEvoVAi.mp3
141,Faithless,Insomnia,6.88,7.31,2.12,2.69,8.25,5.19,4.5,36.19,4.88,7gWc0QEt2hoIkMv3XxPY1T,tracks/7gWc0QEt2hoIkMv3XxPY1T.mp3
142,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),14.0,10.06,25.06,6.88,11.41,32.53,40.06,13.82,5.41,36UVZPoK8a1Oxh13cY8kOp,tracks/36UVZPoK8a1Oxh13cY8kOp.mp3
143,Bonobo,Nightlite,37.07,29.6,17.87,13.6,26.13,25.47,28.4,12.8,10.8,1gI1nC5E3ObyMtejdc8crP,tracks/1gI1nC5E3ObyMtejdc8crP.mp3
144,Flux Pavilion,I Can't Stop,25.53,32.0,10.84,11.21,14.26,38.68,42.47,31.21,5.21,5WSL7UTa38jMWoBzObD4BD,tracks/5WSL7UTa38jMWoBzObD4BD.mp3
145,Everything But the Girl,Low Tide Of The Night,29.83,23.08,34.5,26.25,43.42,26.0,11.83,4.25,1.0,06bJuoqZDzxSINQFREVLu0,tracks/06bJuoqZDzxSINQFREVLu0.mp3
146,Babybird,You're Gorgeous,13.56,2.38,15.0,4.38,22.69,24.06,2.94,0.88,6.75,5COBer69wpwkCPPaLr1gFb,tracks/5COBer69wpwkCPPaLr1gFb.mp3
147,Wayne Newton,Danke Schoen,14.71,15.64,38.57,21.5,11.5,23.0,16.71,13.29,7.5,1BfbdFWT4wirsQ5BNgmN52,tracks/1BfbdFWT4wirsQ5BNgmN52.mp3
148,Phil Collins,Against All Odds (Take a Look at Me Now),34.0,21.54,52.77,41.54,31.69,16.62,21.69,0.62,20.31,63CHa6rmamv9OsehkRD8oz,tracks/63CHa6rmamv9OsehkRD8oz.mp3
149,Nina Simone,That's All I Ask,24.33,17.6,38.07,43.67,29.67,15.27,18.87,6.4,34.87,5uI8omnLtzW4xTqJ5AoQtT,tracks/5uI8omnLtzW4xTqJ5AoQtT.mp3
150,Lacrimas Profundere,The Crown of Leaving,19.29,17.86,17.71,8.57,18.29,12.0,21.07,24.21,17.0,7qNpAPSfPiLQ47cez2IpeW,tracks/7qNpAPSfPiLQ47cez2IpeW.mp3
151,Nero,My Eyes,18.93,23.33,10.87,4.13,10.13,20.47,43.27,37.07,5.27,4gMIZhJUOCjmQxo1fwhhnK,tracks/4gMIZhJUOCjmQxo1fwhhnK.mp3
152,ATB,9pm (Till I Come),27.82,24.91,55.45,22.27,10.18,32.27,33.27,11.45,4.18,1CgbwsrNDlFrRuk2ebQ7zr,tracks/1CgbwsrNDlFrRuk2ebQ7zr.mp3
153,Elis Regina,Como Nossos Pais,20.31,16.56,16.44,23.38,14.62,21.44,19.69,9.19,17.88,2ZC8sdv4Kvuql7Q9T8Agzv,tracks/2ZC8sdv4Kvuql7Q9T8Agzv.mp3
154,Burial,Untrue,10.28,15.83,15.5,7.94,14.06,23.33,21.61,21.11,6.44,1aaIYTqoRDzRUilU2Q6vTe,tracks/1aaIYTqoRDzRUilU2Q6vTe.mp3
155,Ella Fitzgerald,The Nearness Of You,30.08,16.58,62.75,36.42,65.33,22.25,11.58,3.83,13.83,39CdOo5GPGSIdxWDvyyWkr,tracks/39CdOo5GPGSIdxWDvyyWkr.mp3
156,Jessie Ware,Swan Song,15.0,11.08,11.46,19.92,34.38,9.0,6.31,11.15,18.69,708jomIP1WJkoinbSJxOGm,tracks/708jomIP1WJkoinbSJxOGm.mp3
157,The Cinematic Orchestra,Ma Fleur,17.31,14.94,26.25,27.62,42.5,10.5,11.69,8.25,19.88,3AqPL1n1wKc5DVFFnYuJhp,tracks/3AqPL1n1wKc5DVFFnYuJhp.mp3
158,Good Charlotte,March On,18.92,7.85,15.77,12.62,27.23,11.69,2.69,2.62,24.92,5aj1QFI3B492gzMXgioTqe,tracks/5aj1QFI3B492gzMXgioTqe.mp3
159,Perlla,No Meu Comando,10.6,12.0,3.4,7.87,5.0,22.87,17.87,9.2,2.07,4A1xnjGKCJWxa6VnUHKdvl,tracks/4A1xnjGKCJWxa6VnUHKdvl.mp3
160,of Montreal,Oslo In The Summertime,14.68,13.53,14.37,12.79,18.05,26.42,13.26,21.32,11.53,3aWcuInJ6nPVUey0wDQQUL,tracks/3aWcuInJ6nPVUey0wDQQUL.mp3
161,BANKS,Beggin for Thread,14.2,20.28,12.96,12.88,12.72,15.88,20.68,10.6,7.64,4PvD06Pmbm2rHG2JjSlElF,tracks/4PvD06Pmbm2rHG2JjSlElF.mp3
162,The Whispers,Rock Steady,14.53,13.0,32.35,14.59,13.41,40.82,22.24,7.12,2.76,1YCsTFttuHAzgfEWKdOb9K,tracks/1YCsTFttuHAzgfEWKdOb9K.mp3
163,Beyoncé,Halo,33.47,31.73,54.93,39.13,25.8,34.87,58.87,18.4,16.6,4JehYebiI9JE8sR8MisGVb,tracks/4JehYebiI9JE8sR8MisGVb.mp3
164,Passion Pit,Sleepyhead,9.22,12.72,14.78,4.67,10.39,34.33,18.11,19.89,1.94,4prEPl61C8qZpeo3IkYSMl,tracks/4prEPl61C8qZpeo3IkYSMl.mp3
165,Edwin McCain,I Could Not Ask for More,24.43,10.13,26.37,26.3,22.83,15.3,23.9,7.8,10.7,14J3PO0VnhtcRa31r7Aj1L,tracks/14J3PO0VnhtcRa31r7Aj1L.mp3
166,Ace of Base,All That She Wants,19.53,22.29,46.82,20.06,23.82,59.18,28.35,5.41,12.12,6kWJvPfC4DgUpRsXKNa9z9,tracks/6kWJvPfC4DgUpRsXKNa9z9.mp3
167,Duke Ellington,Sophisticated Lady,22.0,17.42,40.75,30.83,44.5,19.58,9.17,8.5,12.5,2ua1p76h5Yy2u3dVZ9Qb0l,tracks/2ua1p76h5Yy2u3dVZ9Qb0l.mp3
168,Sérgio Mendes,Mas que nada,15.56,17.33,16.0,12.17,30.78,37.33,20.67,14.28,2.11,6U7GUjtamt2P0LcFod1dBT,tracks/6U7GUjtamt2P0LcFod1dBT.mp3
170,Desiigner,Panda,40.0,10.5,1.17,15.5,12.17,45.58,37.42,14.25,1.58,275a9yzwGB6ncAW4SxY7q3,tracks/275a9yzwGB6ncAW4SxY7q3.mp3
171,NAS,Doo Rags,40.75,31.83,22.75,32.33,26.25,39.42,41.08,0.0,3.75,2XQrvYopdCkOenX4Z5CdV7,tracks/2XQrvYopdCkOenX4Z5CdV7.mp3
172,DMX,X Gon' Give It To Ya,28.18,12.09,15.82,14.55,15.09,62.09,62.18,0.0,1.09,1zzxoZVylsna2BQB65Ppcb,tracks/1zzxoZVylsna2BQB65Ppcb.mp3
173,Xatar,Meine Große Liebe,10.82,27.18,0.0,15.45,1.0,22.91,27.18,6.73,0.0,7H1xPBRWYLhPGluTUDUYOw,tracks/7H1xPBRWYLhPGluTUDUYOw.mp3
174,Biggie Smalls,Hypnotize,44.58,21.58,33.42,12.92,28.25,39.17,23.0,12.25,0.0,6Tsu3OsuMz4KEGKbOYd6A0,tracks/6Tsu3OsuMz4KEGKbOYd6A0.mp3
175,Salt-N-Pepa,Shoop,16.85,13.21,7.79,4.35,14.85,55.62,31.15,4.94,0.0,0Pu71wxadDlB8fJXfjIjeJ,tracks/0Pu71wxadDlB8fJXfjIjeJ.mp3
176,Prinz Pi,Laura,11.03,8.53,10.82,7.56,13.71,6.15,12.97,21.26,14.09,4pbTElMDaHrkLOfOv8nUdC,tracks/4pbTElMDaHrkLOfOv8nUdC.mp3
177,Black Eyed Peas,Where Is The Love,40.67,40.61,29.21,7.06,9.73,37.39,28.48,7.45,14.24,1FreAz1lmnDi5aKLB6GdFM,tracks/1FreAz1lmnDi5aKLB6GdFM.mp3
178,Blumio,Lass Mal Über Haie Reden,10.56,11.22,2.41,5.56,11.89,39.78,27.59,23.96,3.33,2cdXF2fdd1q3wXg7VnxzEJ,tracks/2cdXF2fdd1q3wXg7VnxzEJ.mp3
179,Cyne,One Day,14.5,9.18,8.25,7.93,18.21,40.54,28.82,9.89,0.82,46cmIQKXy7Ric5yNZ2tzde,tracks/46cmIQKXy7Ric5yNZ2tzde.mp3
180,The Pharcyde,Passin' Me By,19.19,6.48,4.74,10.19,13.81,32.22,22.41,26.93,0.0,4G3dZN9o3o2X4VKwt4CLts,tracks/4G3dZN9o3o2X4VKwt4CLts.mp3
181,Gucci Mane,Tone It Down,11.11,10.21,0.0,7.96,19.43,40.21,29.5,25.46,1.04,0iTCmKvuU1ReULiQB0rI7n,tracks/0iTCmKvuU1ReULiQB0rI7n.mp3
182,Jay-Z,The Story Of OJ,17.68,13.11,11.04,10.36,29.43,31.5,19.96,20.96,2.96,6JpN5w95em8SODPiM7W2PH,tracks/6JpN5w95em8SODPiM7W2PH.mp3
183,2Pac,All Eyez On Me,14.14,10.43,11.75,15.07,28.64,26.32,20.57,21.18,1.21,4VQNCzfZ3MdHEwwErNXpBo,tracks/4VQNCzfZ3MdHEwwErNXpBo.mp3
184,K.I.Z.,Ein Affe und ein Pferd,12.13,8.53,3.87,7.2,11.17,35.1,33.57,40.37,0.0,3qM75mSV84LHHJqlITqZsk,tracks/3qM75mSV84LHHJqlITqZsk.mp3
185,LL Cool J,Around The Way Girl,18.77,9.13,12.53,18.23,32.3,42.67,16.37,6.6,1.7,4Qxv2L4JICAWLFrBV6QeH8,tracks/4Qxv2L4JICAWLFrBV6QeH8.mp3
186,Coolio,Gangsta's Paradise,31.3,15.97,22.53,2.03,12.17,65.57,51.07,9.47,1.03,1DIXPcTDzTj8ZMHt3PDt8p,tracks/1DIXPcTDzTj8ZMHt3PDt8p.mp3
187,Cardi B,Bodak Yellow,10.97,8.06,1.58,4.29,7.23,47.16,39.23,16.16,0.0,6KBYefIoo7KydImq1uUQlL,tracks/6KBYefIoo7KydImq1uUQlL.mp3
188,Killer Mike,A.D.I.D.A.S.,18.44,1.59,6.38,2.25,16.69,37.97,8.47,14.31,2.06,3ghaPXI1bdNDeYpfCEv1Gw,tracks/3ghaPXI1bdNDeYpfCEv1Gw.mp3
189,Beginner,Füchse,18.65,14.55,7.52,2.84,28.48,43.52,17.06,9.84,4.55,4vxjNphyAqPGR8KpuXPGoi,tracks/4vxjNphyAqPGR8KpuXPGoi.mp3
190,Scroobius Pip,Let 'Em Come,8.04,13.96,1.44,3.19,2.78,18.19,26.11,46.37,0.0,5iDkCenF5yMkweYTzvnxc0,tracks/5iDkCenF5yMkweYTzvnxc0.mp3
191,SIDO,Fuffies Im Club,7.07,15.85,1.37,3.37,6.52,28.19,12.26,31.04,1.48,1A0b0yR0quuBByKQzASAvf,tracks/1A0b0yR0quuBByKQzASAvf.mp3
192,Chance The Rapper,Summer Friends,2.26,6.93,6.26,8.52,18.19,24.59,4.67,18.3,0.0,2fl0B0OaXjWbjHCQFx2O8W,tracks/2fl0B0OaXjWbjHCQFx2O8W.mp3
193,Twentyone Pilots,Lane Boy,18.0,13.17,2.45,1.07,11.79,26.62,33.17,7.38,3.52,2P61EK6DMGyVyssLWS4fKy,tracks/2P61EK6DMGyVyssLWS4fKy.mp3
195,The Roots,You Got Me,21.93,10.31,26.0,21.34,21.9,8.72,11.14,9.21,15.21,4pdLZsxq0y5oJDb6Cxlokw,tracks/4pdLZsxq0y5oJDb6Cxlokw.mp3
196,Kanye West,Touch The Sky,16.43,9.75,17.32,10.0,17.14,46.86,22.43,7.04,0.79,2dxjKgT0li4qBI3QwuN9Ih,tracks/2dxjKgT0li4qBI3QwuN9Ih.mp3
197,Pharoahe Monch,Let's Go,7.21,12.93,3.57,0.0,14.11,26.43,20.46,14.54,0.0,67c29TckQ1LtejsU6USqvG,tracks/67c29TckQ1LtejsU6USqvG.mp3
198,Eminem,Mockingbird,25.11,9.54,34.32,14.39,12.46,13.18,9.71,17.54,38.64,561jH07mF1jHuk7KlaeF0s,tracks/561jH07mF1jHuk7KlaeF0s.mp3
199,Eminem,Rap God,30.81,25.07,14.52,9.56,8.26,39.48,34.52,28.41,3.7,6or1bKJiZ06IlK0vFvY75k,tracks/6or1bKJiZ06IlK0vFvY75k.mp3
201,Eminem,Lose Yourself,29.7,17.0,26.0,12.96,16.63,50.96,36.85,15.56,3.7,7MJQ9Nfxzh8LPZ9e9u68Fq,tracks/7MJQ9Nfxzh8LPZ9e9u68Fq.mp3
202,Travis Scott,Antidote,12.23,11.42,7.84,4.1,11.16,43.58,23.74,19.23,1.16,1wHZx0LgzFHyeIZkUydNXq,tracks/1wHZx0LgzFHyeIZkUydNXq.mp3
204,Kanye West,Runaway,13.97,2.81,10.55,11.42,13.84,28.61,6.58,23.26,7.74,3DK6m7It6Pw857FcQftMds,tracks/3DK6m7It6Pw857FcQftMds.mp3
205,Jay-Z,99 Problems,8.75,8.11,5.77,1.3,14.09,43.52,38.34,18.32,0.0,7IdFdRlCjUi6kkhbPoRfnw,tracks/7IdFdRlCjUi6kkhbPoRfnw.mp3
206,50 Cent,In Da Club,15.37,7.16,15.12,5.51,16.7,56.44,25.81,12.16,0.0,7iL6o9tox1zgHpKUfh9vuC,tracks/7iL6o9tox1zgHpKUfh9vuC.mp3
207,Akua Naru,Poetry: How Does It Feel,20.12,14.3,17.67,29.84,42.19,8.93,5.86,10.58,2.19,0SQg86odv33piyPWPgNpBM,tracks/0SQg86odv33piyPWPgNpBM.mp3
208,OutKast,B.O.B.,10.5,15.4,4.93,0.27,11.5,49.47,36.03,28.73,0.67,3WibbMr6canxRJXhNtAvLU,tracks/3WibbMr6canxRJXhNtAvLU.mp3
209,Jedi Mind Tricks,Deathbed Doctrine,11.73,8.1,2.67,3.03,6.6,54.9,36.47,22.23,0.0,1i74MnweHIH0Lt4upFKP9I,tracks/1i74MnweHIH0Lt4upFKP9I.mp3
210,Bushido,Leben Und Tod Des Kenneth Glöckler,19.13,20.6,1.87,1.7,8.4,26.93,39.23,21.9,1.07,3ai0DFuYn5KnHPUbRjAkga,tracks/3ai0DFuYn5KnHPUbRjAkga.mp3
211,Beastie Boys,Fight For Your Right,22.84,8.4,15.76,2.52,3.56,42.96,37.36,29.2,0.0,5NLuC70kZQv8q34QyQa1DP,tracks/5NLuC70kZQv8q34QyQa1DP.mp3
212,Action Bronson,Actin Crazy,10.44,9.32,2.0,1.76,21.24,25.08,19.44,26.6,1.44,3clX2NMmjaAHmBjeTSa9vV,tracks/3clX2NMmjaAHmBjeTSa9vV.mp3
213,Immortal Technique,Leaving the past,18.52,22.64,16.48,3.48,12.76,20.28,11.12,20.24,16.0,6msTUCqIfVOWe7pzWGzh6F,tracks/6msTUCqIfVOWe7pzWGzh6F.mp3
214,SSIO,Nullkommaneun,15.24,17.34,1.69,1.76,4.59,37.76,22.48,36.86,0.0,3cLXgIlvugVKpWBmO5v9oy,tracks/3cLXgIlvugVKpWBmO5v9oy.mp3
215,Wu-Tang Clan,Da Mystery Of Chessboxin',8.24,8.55,1.97,2.41,4.66,35.66,31.14,27.76,0.0,4xOTVtbCPcfxMs2hSt9D6i,tracks/4xOTVtbCPcfxMs2hSt9D6i.mp3
216,Post Malone,Congratulations,17.76,6.22,22.92,7.41,27.68,42.59,25.19,12.22,2.46,3a1lNhkSLSkpJE4MSHpDu9,tracks/3a1lNhkSLSkpJE4MSHpDu9.mp3
217,D-12,Fight Music,1.92,7.89,7.24,0.0,4.78,34.97,42.78,24.92,0.0,3vBv2Tp0kHyBDUBZJr9GXQ,tracks/3vBv2Tp0kHyBDUBZJr9GXQ.mp3
218,Jurassic 5,Work It Out,11.68,14.65,12.11,9.92,23.92,46.51,18.92,12.03,0.0,4wAjMtIbWBP3g1iETZRrg3,tracks/4wAjMtIbWBP3g1iETZRrg3.mp3
219,Logic,Black Spiderman,13.97,13.54,7.91,7.91,11.71,35.37,20.71,18.49,2.43,7BKUWh5sdtdS17crohRe4L,tracks/7BKUWh5sdtdS17crohRe4L.mp3
220,Jay Z,Hard Knock Life,20.0,14.09,19.54,19.11,18.69,35.86,15.11,11.86,3.8,0PncoISAGbKR9HRx5LEbhC,tracks/0PncoISAGbKR9HRx5LEbhC.mp3
221,The Notorious B.I.G.,Juicy,17.8,14.66,13.6,8.26,22.54,33.69,18.57,6.43,2.34,2AP7m2dBb8ULTx4Gc1rdMc,tracks/2AP7m2dBb8ULTx4Gc1rdMc.mp3
222,N.E.R.D,Lemon,9.46,3.33,5.0,3.29,2.12,30.5,23.79,20.83,0.0,2LKlHBPHxLG5ArAXfF148n,tracks/2LKlHBPHxLG5ArAXfF148n.mp3
223,50 Cent,Candy Shop,12.75,3.33,20.25,25.08,7.21,54.62,35.0,5.25,0.0,5D2mYZuzcgjpchVY1pmTPh,tracks/5D2mYZuzcgjpchVY1pmTPh.mp3
224,2Pac,Keep Ya Head Up,8.25,9.62,8.83,8.17,30.33,23.0,10.08,6.0,4.17,4Tttv4p2xuAq1LpQ7LI95E,tracks/4Tttv4p2xuAq1LpQ7LI95E.mp3
226,Geto Boys,Mind Playing Tricks On Me,12.57,8.04,2.04,0.0,7.83,18.39,11.61,33.22,1.09,63BokRfXSQhEU6Qi2dSJpZ,tracks/63BokRfXSQhEU6Qi2dSJpZ.mp3
227,NAS,If I Ruled The World (Imagine That),12.61,19.48,6.96,2.3,15.96,27.83,23.35,14.17,0.0,5PQmSHzWnlgG4EBuIqjac2,tracks/5PQmSHzWnlgG4EBuIqjac2.mp3
228,OutKast,Ms. Jackson,24.0,5.75,35.35,2.05,4.05,42.2,15.45,11.65,6.35,0I3q5fE6wg7LIfHGngUTnV,tracks/0I3q5fE6wg7LIfHGngUTnV.mp3
229,Kendrick Lamar,i,7.58,6.95,0.0,1.84,3.58,29.26,15.79,22.68,0.0,7wdzLe2Gsx1RGqbvYZHASz,tracks/7wdzLe2Gsx1RGqbvYZHASz.mp3
230,Kanye West,Gold Digger,24.79,4.62,23.5,5.76,11.76,62.32,36.79,9.71,0.0,1PS1QMdUqOal0ai3Gt7sDQ,tracks/1PS1QMdUqOal0ai3Gt7sDQ.mp3
231,Max Herre,1Ste Liebe,7.74,5.62,13.47,12.65,20.53,21.59,0.91,18.71,0.0,20xi5ZLlmFLqXtsoNlcqYs,tracks/20xi5ZLlmFLqXtsoNlcqYs.mp3
232,Future,Mask Off,18.29,5.32,10.09,5.68,5.44,31.56,26.12,19.97,2.62,0VgkVdmE4gld66l8iyGjgx,tracks/0VgkVdmE4gld66l8iyGjgx.mp3
233,Ice Cube,It Was A Good Day,5.32,3.32,13.56,4.29,16.03,21.5,10.0,19.97,0.0,2GrOq1y5gksYrqkc8Jzl9T,tracks/2GrOq1y5gksYrqkc8Jzl9T.mp3
235,Yung Hurn,Bianco,15.3,6.47,6.56,5.09,19.3,19.14,4.37,23.93,2.98,1vfVPUkl5v0HXWCEgQJHOf,tracks/1vfVPUkl5v0HXWCEgQJHOf.mp3
236,Blackalicious,Alphabet Aerobics,24.82,16.52,1.61,0.0,10.36,37.58,28.39,27.48,0.0,4z5L0qDduw3w1apQ4Qa6KV,tracks/4z5L0qDduw3w1apQ4Qa6KV.mp3
237,SSIO,Sim-Karte,10.22,9.66,5.66,0.0,10.25,32.81,26.19,23.88,0.0,4boJTTrr04CNomqZj9SJ4f,tracks/4boJTTrr04CNomqZj9SJ4f.mp3
238,Drake,Too Much,16.75,15.66,22.78,15.69,22.47,20.06,18.59,12.0,6.16,5LnXWeA9tuWKI2C1H74iiJ,tracks/5LnXWeA9tuWKI2C1H74iiJ.mp3
239,A$AP Rocky,Fashion Killa,6.91,9.7,7.97,9.73,12.91,20.73,8.12,16.06,3.45,0O3TAouZE4vL9dM5SyxgvH,tracks/0O3TAouZE4vL9dM5SyxgvH.mp3
240,Obie Trice,Got some Teeth,3.46,12.92,8.38,5.5,12.35,50.81,33.88,22.04,0.0,7tszeVkfxO5ISkjZWpIG88,tracks/7tszeVkfxO5ISkjZWpIG88.mp3
241,CunninLynguists,Love Ain't,15.23,21.73,19.23,5.38,7.69,34.65,34.65,19.31,6.04,6qfna7A7WvUwyNoqVwbhnc,tracks/6qfna7A7WvUwyNoqVwbhnc.mp3
242,Jay-Z,Ni**as In Paris,16.62,11.5,15.92,3.73,3.85,60.38,51.46,28.19,0.0,4Li2WHPkuyCdtmokzW2007,tracks/4Li2WHPkuyCdtmokzW2007.mp3
243,CunninLynguists,Valley of Death,18.65,23.39,19.96,0.0,4.65,27.87,20.52,15.3,2.04,3rvuvqoC0zvoUkog7EKLMv,tracks/3rvuvqoC0zvoUkog7EKLMv.mp3
244,Eminem,Till I Collapse,19.73,26.67,7.83,1.67,0.0,42.93,55.17,16.67,0.0,4xkOaSrkexMciUUogZKVTS,tracks/4xkOaSrkexMciUUogZKVTS.mp3
245,Kendrick Lamar,Rigamortus,9.67,5.5,3.4,2.93,9.5,34.47,24.53,30.8,1.37,2lD6AoA8qf2t4Dkf2TcmNK,tracks/2lD6AoA8qf2t4Dkf2TcmNK.mp3
246,Chinese Man,I've Got That Tune,24.37,10.63,8.23,10.1,26.87,50.97,24.5,10.9,0.0,6ZOeDXutLpSGqA1sSL6LrL,tracks/6ZOeDXutLpSGqA1sSL6LrL.mp3
247,Kendrick Lamar,Alright,9.73,5.95,5.95,0.0,7.51,24.92,15.35,19.0,0.0,3iVcZ5G6tvkXZkZKlMpIUs,tracks/3iVcZ5G6tvkXZkZKlMpIUs.mp3
248,Eminem,Shake That,8.76,3.64,11.4,0.6,10.28,37.72,15.12,10.84,0.0,0fGh0trRN1xz3s41r7V5ce,tracks/0fGh0trRN1xz3s41r7V5ce.mp3
249,Immortal Technique,Freedom Of Speech,8.08,6.2,6.12,0.68,8.76,23.44,15.64,23.68,1.76,6fx3RqwMuR3k7M1bCpUFKJ,tracks/6fx3RqwMuR3k7M1bCpUFKJ.mp3
250,Sage Francis,Crack Pipes,9.32,17.64,12.96,1.84,6.6,8.44,16.0,24.48,12.36,0BbYnQHDdUNO5e38PK3GOX,tracks/0BbYnQHDdUNO5e38PK3GOX.mp3
251,Blackstreet,No Diggity,30.0,6.76,19.6,7.96,23.2,33.88,14.08,3.6,0.0,6MdqqkQ8sSC0WB4i8PyRuQ,tracks/6MdqqkQ8sSC0WB4i8PyRuQ.mp3
252,NAS,N.Y. State of Mind,2.4,10.3,1.45,0.0,6.5,23.3,27.75,32.45,3.6,0trHOzAhNpGCsGBEu7dOJo,tracks/0trHOzAhNpGCsGBEu7dOJo.mp3
253,Nicki Minaj,Moment 4 Life,14.75,23.85,3.2,0.0,4.8,44.05,44.0,15.45,0.85,1ia019RqDK2o4QiANR1Dyn,tracks/1ia019RqDK2o4QiANR1Dyn.mp3
254,Missy Elliott,Work It,12.91,8.91,5.3,2.3,0.43,39.22,20.48,19.65,0.0,3jagJCUbdqhDSPuxP8cAqF,tracks/3jagJCUbdqhDSPuxP8cAqF.mp3
255,Marteria,Kids,5.48,15.13,4.04,0.0,12.48,35.61,7.78,18.7,5.0,6lxTIMeCLEkj48TlCRG3XX,tracks/6lxTIMeCLEkj48TlCRG3XX.mp3
256,Wiz Khalifa,"Young, Wild & Free",25.33,13.28,23.61,9.78,8.78,51.83,17.61,18.94,0.0,5HQVUIKwCEXpe7JIHyY734,tracks/5HQVUIKwCEXpe7JIHyY734.mp3
257,Why SL Know Plug,Rite Back,12.63,8.19,0.56,0.0,2.3,35.07,18.11,15.22,0.81,5c2LdL9xlXX0CyPry5UDIR,tracks/5c2LdL9xlXX0CyPry5UDIR.mp3
258,Black Hippy,Control,4.85,9.19,1.48,0.0,2.59,24.11,20.74,34.44,1.63,18lRXAROle06PhNpCqRoSV,tracks/18lRXAROle06PhNpCqRoSV.mp3
259,Dr. Dre,Still D.R.E.,16.0,14.75,27.19,3.0,20.47,38.0,46.88,11.47,0.0,503OTo2dSqe7qk76rgsbep,tracks/503OTo2dSqe7qk76rgsbep.mp3
260,Haftbefehl,Lass Die Affen Aus'm Zoo,6.58,13.94,5.71,1.32,4.0,26.9,30.23,45.55,0.97,6QNgcN2uHhXJG4RWDPyQQF,tracks/6QNgcN2uHhXJG4RWDPyQQF.mp3
261,J. Cole,Wet Dreamz,31.48,13.77,21.84,20.55,30.77,34.74,23.58,11.13,2.1,4tqcoej1zPvwePZCzuAjJd,tracks/4tqcoej1zPvwePZCzuAjJd.mp3
262,Dr. Dre,Nuthin' But A G thang,20.97,6.45,15.81,7.13,20.48,42.9,22.77,13.74,1.61,4YtoipFgf4k0AfD17ZfD5X,tracks/4YtoipFgf4k0AfD17ZfD5X.mp3
263,Soul Position,Priceless,11.93,5.89,2.07,5.85,18.26,35.78,7.52,10.52,0.0,7I4ozG1g4D5H7FvKkMe27n,tracks/7I4ozG1g4D5H7FvKkMe27n.mp3
264,Die Orsons,Ventilator,9.26,5.59,2.33,0.56,5.19,24.67,5.56,21.0,0.74,5j9djud18VQob3Ec3FUoy0,tracks/5j9djud18VQob3Ec3FUoy0.mp3
265,Method Man,Part II,16.85,3.52,2.22,1.52,16.44,35.26,19.3,14.78,0.0,2n7h09QrGitVul66b2D8Re,tracks/2n7h09QrGitVul66b2D8Re.mp3
266,Public Enemy,Harder Than You Think,23.59,9.45,6.66,0.0,8.72,47.28,38.83,20.21,2.59,5YpZh8wfS4moRBk0ijNcXr,tracks/5YpZh8wfS4moRBk0ijNcXr.mp3
267,Mattafix,Big City Life,29.48,18.86,21.83,12.34,23.72,39.21,18.9,7.66,0.0,4stm6lf1vQBSl7Eq4Npzr0,tracks/4stm6lf1vQBSl7Eq4Npzr0.mp3
268,Tyler The Creator,Yonkers,9.72,7.21,0.0,5.17,5.72,17.21,32.45,34.55,4.41,3WQlJpaUUbGtUqAskvGA7c,tracks/3WQlJpaUUbGtUqAskvGA7c.mp3
269,Green Day,Know Your Enemy,20.43,21.0,33.5,5.57,9.14,34.93,49.07,15.36,6.5,5qtwzv99vOr5UTwnTixn7j,tracks/5qtwzv99vOr5UTwnTixn7j.mp3
270,AedFX,Warning,11.37,15.03,0.0,2.0,12.33,35.4,21.8,50.23,3.37,3mHgqUyhKCBo2PKh18sWeo,tracks/3mHgqUyhKCBo2PKh18sWeo.mp3
271,brillion,Aurora,19.93,14.14,38.24,38.93,61.28,8.93,0.0,4.97,1.52,3dsMce7p7FYwsxvHZQuaRP,tracks/3dsMce7p7FYwsxvHZQuaRP.mp3
