,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Sublimity,Vitality,Unease,ICC,Familiarity,Liking,Spotify ID,Youtube Clip,Youtube ID,Youtube Start-Time,Youtube End-Time,Path,genre
95,97,97,98,The Format,I'm Actual,22.18,19.41,31.88,24.76,13.88,19.88,26.71,11.35,20.18,22.42,23.29,15.76,0.26,1.24,2.65,2eHZ6UoAycNv99qKz4PVPg,,,,,tracks/2eHZ6UoAycNv99qKz4PVPg.mp3,pop
96,98,98,99,Teena Marie,Revolution,5.58,17.0,18.75,6.08,12.83,29.5,17.92,6.67,7.75,12.05,23.71,7.21,0.59,1.17,2.17,7re1yRjy442DIAIVUgCaBN,,,,,tracks/7re1yRjy442DIAIVUgCaBN.mp3,funk_soul
97,99,99,100,Ashlee Simpson,Beautifully Broken,18.92,11.69,19.08,20.15,11.23,23.54,18.31,4.23,21.46,16.22,20.92,12.85,-0.21,1.69,3.15,0Z5TwodaWvDGq43AVdnKzn,,,,,tracks/0Z5TwodaWvDGq43AVdnKzn.mp3,pop
98,100,100,101,Al Jarreau,Ain't No Sunshine,21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,28.17,28.31,15.0,0.69,3.54,3.92,0Res4ooR61zc5T7m2Fswog,,,,,tracks/0Res4ooR61zc5T7m2Fswog.mp3,jazz
99,101,101,102,Lana Del Rey,Born to Die,21.05,9.05,38.79,26.21,28.58,4.21,9.0,7.63,35.74,24.74,6.61,21.68,0.87,1.89,3.26,487OPlneJNni3NWC8SYqhW,,,,,tracks/487OPlneJNni3NWC8SYqhW.mp3,pop
100,102,102,103,Ambrosia,You're the Only Woman,14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,22.18,22.42,6.67,0.88,1.35,3.04,11qmuUlW5q5diLiVSOlsSF,,,,,tracks/11qmuUlW5q5diLiVSOlsSF.mp3,jazz
101,103,103,104,Justin Timberlake,Cry Me a River,16.26,8.79,46.42,15.42,21.0,31.47,19.53,14.89,19.11,21.58,25.5,17.0,0.79,3.68,3.74,7Lf7oSEVdzZqTA0kEDSlS5,,,,,tracks/7Lf7oSEVdzZqTA0kEDSlS5.mp3,pop
102,104,104,105,Michael Bublï¿½,Feeling Good,13.92,10.0,33.0,21.92,24.92,15.58,13.33,12.75,5.33,20.75,14.46,9.04,0.46,2.83,3.5,3I09LQbHS3NSU46Ly3tPpR,,,,,tracks/3I09LQbHS3NSU46Ly3tPpR.mp3,jazz
103,105,105,106,Diana Ross,Upside Down,23.71,18.53,33.65,31.59,24.29,55.41,32.41,2.65,1.65,26.35,43.91,2.15,0.88,2.53,3.53,3pbtBomO4Zt5gGiqsYeiBH,,,,,tracks/3pbtBomO4Zt5gGiqsYeiBH.mp3,funk_soul
104,106,106,107,Marianas Trench,Good To You,10.16,4.32,14.37,19.95,7.32,24.79,42.26,10.95,13.58,11.22,33.53,12.26,0.84,1.37,3.05,3eDBBDWXkmH6chzPZhuajx,,,,,tracks/3eDBBDWXkmH6chzPZhuajx.mp3,rock
105,107,107,108,Prince & The Revolution,Purple Rain,28.21,31.5,46.86,15.71,15.71,9.79,28.36,7.64,14.93,27.6,19.07,11.29,0.83,1.79,3.0,54X78diSLoUDI3joC2bjMz,,,,,tracks/54X78diSLoUDI3joC2bjMz.mp3,rock
106,108,108,109,Lily Allen,Air Balloon,18.37,16.95,14.0,23.84,18.05,46.63,21.37,6.0,0.26,18.24,34.0,3.13,0.85,1.79,3.05,1DIS8YXZKxePLmY7Z8UC4I,,,,,tracks/1DIS8YXZKxePLmY7Z8UC4I.mp3,pop
107,109,109,110,Louis Armstrong,What a Wonderful World,41.0,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,45.3,30.11,7.46,0.86,3.43,3.5,29U7stRjqHU6rMiS8BfaI9,,,,,tracks/29U7stRjqHU6rMiS8BfaI9.mp3,jazz
108,110,110,111,Madonna,Gang Bang,17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,13.1,35.0,15.69,0.87,1.5,2.81,5IYWdpFJAeKLggc7B8xtJm,,,,,tracks/5IYWdpFJAeKLggc7B8xtJm.mp3,electronic
109,111,111,112,Electric Wizard,The Chosen Few,14.53,19.47,14.67,9.6,9.8,13.67,28.33,27.0,15.0,13.61,21.0,21.0,0.52,1.13,2.4,5qN4DbKNNuIIe7xSlJPco0,,,,,tracks/5qN4DbKNNuIIe7xSlJPco0.mp3,rock
110,112,112,113,Donna Summer,Autumn Changes,6.6,5.73,13.2,20.73,11.93,31.93,19.0,8.13,11.6,11.64,25.47,9.87,0.63,1.27,2.8,4LldsyhaiUL5tcP5uxDBkx,,,,,tracks/4LldsyhaiUL5tcP5uxDBkx.mp3,funk_soul
111,113,113,114,blink-182,The Girl Next Door,10.9,9.0,6.8,6.5,3.9,15.3,20.2,28.0,7.7,7.42,17.75,17.85,0.54,1.1,1.9,2YmvU7tSabJfECLUutSXJ1,,,,,tracks/2YmvU7tSabJfECLUutSXJ1.mp3,rock
112,114,114,115,Village People,Go West,13.24,6.1,48.19,11.33,8.81,53.48,37.95,10.76,5.0,17.53,45.71,7.88,0.94,3.33,3.43,5v67uga7IFT3FQhDDBgaY8,,,,,tracks/5v67uga7IFT3FQhDDBgaY8.mp3,funk_soul
113,115,115,116,Melanie C,"Yeh, Yeh, Yeh",11.19,5.0,16.38,6.19,10.69,46.62,38.0,16.19,1.94,9.89,42.31,9.06,0.89,1.56,2.62,5gEkWBFaVUjzY7Y3sw35UU,,,,,tracks/5gEkWBFaVUjzY7Y3sw35UU.mp3,pop
114,116,116,117,Norah Jones,Humble Me,32.54,29.38,42.08,53.69,56.0,5.85,13.0,4.69,57.46,42.74,9.42,31.08,0.91,1.38,3.46,7BboupyTdAr1nmMJZw0V4h,,,,,tracks/7BboupyTdAr1nmMJZw0V4h.mp3,jazz
115,117,117,118,Paradise Lost,Gone,16.58,11.5,28.0,10.0,24.42,11.83,23.33,11.58,32.58,18.1,17.58,22.08,0.36,1.33,3.08,7C05KE8DAyWoM4yoEOaq6m,,,,,tracks/7C05KE8DAyWoM4yoEOaq6m.mp3,rock
116,118,118,119,Morcheeba,Rome Wasn't Built in a Day,25.64,16.64,33.55,50.55,35.45,30.27,20.09,13.27,9.45,32.36,25.18,11.36,0.73,1.82,2.82,6lsumzVFKP9SnfKcuGwqVp,,,,,tracks/6lsumzVFKP9SnfKcuGwqVp.mp3,pop
117,119,119,120,Hozier,Take Me to Church,34.45,32.64,40.55,28.82,31.82,25.45,43.55,16.64,29.73,33.65,34.5,23.18,-0.13,4.55,3.73,1CS7Sd1u5tWkstBhpssyjP,,,,,tracks/1CS7Sd1u5tWkstBhpssyjP.mp3,funk_soul
118,120,120,121,Chico Buarque,Sonho De Um Carnaval,14.46,10.15,19.23,18.46,37.69,18.69,4.62,5.69,7.77,20.0,11.65,6.73,0.74,1.31,2.62,6VlapIlYfqtoiWsE0DZUsE,,,,,tracks/6VlapIlYfqtoiWsE0DZUsE.mp3,jazz
119,121,121,122,Kendrick Lamar,King Kunta,6.4,10.0,14.4,0.47,3.8,31.87,39.47,23.6,3.2,7.01,35.67,13.4,0.86,1.87,2.87,0N3W5peJUQtI4eyR6GJT5O,,,,,tracks/0N3W5peJUQtI4eyR6GJT5O.mp3,funk_soul
120,122,122,123,Owl City,Fireflies,25.94,29.38,45.56,25.88,27.81,38.0,21.81,11.38,8.12,30.91,29.91,9.75,0.74,3.75,3.69,3DamFFqW32WihKkTVlwTYQ,,,,,tracks/3DamFFqW32WihKkTVlwTYQ.mp3,pop
121,123,123,124,Neurosis,Fear and Sickness,13.19,15.5,6.81,1.94,1.44,7.0,49.06,71.81,5.81,7.78,28.03,38.81,0.95,1.06,1.62,2sXYiWVdddj45DruzNKJGC,,,,,tracks/2sXYiWVdddj45DruzNKJGC.mp3,rock
122,124,124,125,The Temptations,My Girl,17.17,8.56,51.22,39.22,30.33,41.72,20.17,6.56,8.39,29.3,30.94,7.47,0.92,3.94,4.06,745H5CctFr12Mo7cqa1BMH,,,,,tracks/745H5CctFr12Mo7cqa1BMH.mp3,funk_soul
123,125,125,126,Descendents,Silly Girl,6.39,8.87,10.26,8.74,2.0,22.39,31.43,21.39,3.0,7.25,26.91,12.2,0.88,1.13,2.04,1o0cObpbURSTFEoXSgmL6a,,,,,tracks/1o0cObpbURSTFEoXSgmL6a.mp3,rock
124,126,126,127,Michael Learns to Rock,Paint My Love,20.55,9.65,37.1,41.35,37.0,18.6,5.35,4.0,17.3,29.13,11.97,10.65,0.88,1.55,2.85,523iOSL6R2OomhVMGcfxdy,,,,,tracks/523iOSL6R2OomhVMGcfxdy.mp3,pop
125,127,127,128,A*Teens,Rockin',12.15,5.0,16.85,11.4,15.5,35.4,14.75,7.35,0.2,12.18,25.08,3.78,0.84,1.55,2.3,66Ic3dIvBMBV7Oc4PUjw5w,,,,,tracks/66Ic3dIvBMBV7Oc4PUjw5w.mp3,pop
126,128,128,129,Mark Ronson,Uptown Funk,11.0,17.0,26.47,18.0,7.47,61.47,51.27,8.53,0.27,15.99,56.37,4.4,0.91,4.2,3.8,32OlwWuMpZ6b0aN2RZOeMS,,,,,tracks/32OlwWuMpZ6b0aN2RZOeMS.mp3,funk_soul
127,129,129,130,Apparat,Black Water,18.88,22.76,19.47,16.0,18.88,9.0,17.12,13.24,26.24,19.2,13.06,19.74,0.24,1.29,2.65,3mFu6HJLVeyyUyTS1EkHFP,,,,,tracks/3mFu6HJLVeyyUyTS1EkHFP.mp3,electronic
128,130,130,131,Sarah Vaughan,He's My Guy,17.75,15.42,26.33,28.08,47.33,33.0,27.67,7.08,1.58,26.98,30.33,4.33,0.71,1.08,3.0,5Po3D0fxlUpQTciXYWOmnJ,,,,,tracks/5Po3D0fxlUpQTciXYWOmnJ.mp3,jazz
129,131,131,132,Pinball,Come Into My Dream,21.31,10.46,9.77,13.23,9.31,31.15,24.15,19.54,2.92,12.82,27.65,11.23,0.58,1.46,2.15,2JPFEnjLROchH7qqoRy9Vl,,,,,tracks/2JPFEnjLROchH7qqoRy9Vl.mp3,electronic
130,132,132,133,Heidi Montag,Love It or Leave It,11.9,13.1,10.5,3.7,13.2,24.8,17.9,21.0,0.8,10.48,21.35,10.9,0.49,1.3,2.2,25pVbxHtM3TdDA6hHwvLfW,,,,,tracks/25pVbxHtM3TdDA6hHwvLfW.mp3,pop
131,133,133,134,The Bug,Poison Dart,9.47,8.47,9.2,9.07,9.73,17.33,14.2,44.47,3.4,9.19,15.77,23.93,0.79,1.33,2.0,7k9XruEHhkEH1I2epEHERo,,,,,tracks/7k9XruEHhkEH1I2epEHERo.mp3,electronic
132,134,134,135,Hey Monday,Set Off,2.79,17.14,14.5,13.93,6.07,42.57,36.79,15.79,2.5,10.89,39.68,9.14,0.8,1.21,2.5,0D5q7zxMaeQ9ekjuTQiryo,,,,,tracks/0D5q7zxMaeQ9ekjuTQiryo.mp3,rock
133,135,135,136,Above & Beyond,Alchemy,18.35,31.71,7.18,14.47,17.82,21.41,25.47,14.76,9.24,17.91,23.44,12.0,0.45,1.53,2.29,0Xm3H8qUhiUALrZYJyf61f,,,,,tracks/0Xm3H8qUhiUALrZYJyf61f.mp3,electronic
134,136,136,137,WJSN,HURRY UP,8.5,10.25,9.88,3.25,6.5,57.88,28.62,10.81,1.12,7.68,43.25,5.97,0.95,1.06,2.31,1lAuz7VJzbhhYHTQ11JE12,,,,,tracks/1lAuz7VJzbhhYHTQ11JE12.mp3,jazz
135,137,137,138,Anathema,Judgement,13.64,11.43,16.71,3.57,6.0,22.93,55.5,43.21,9.79,10.27,39.21,26.5,0.88,1.43,2.43,0jQxDAN0CBuIdAqbR4OnzV,,,,,tracks/0jQxDAN0CBuIdAqbR4OnzV.mp3,rock
136,138,138,139,Belleruche,Anything You Want (Not That),13.83,12.25,15.92,14.25,18.17,24.08,10.0,8.33,2.83,14.88,17.04,5.58,0.47,1.25,2.75,41fe96o3cxCfvINxcxEe4R,,,,,tracks/41fe96o3cxCfvINxcxEe4R.mp3,funk_soul
137,139,139,140,Lasgo,Alone,1.43,8.64,7.71,5.5,1.71,30.71,26.57,18.71,4.71,5.0,28.64,11.71,0.83,1.14,2.64,6hVdYM1RKjPIYv17KJ6Cll,,,,,tracks/6hVdYM1RKjPIYv17KJ6Cll.mp3,electronic
138,140,140,141,Evelyn Thomas,High Energy,12.33,8.17,20.5,6.25,6.67,38.33,46.0,23.42,3.83,10.78,42.17,13.62,0.87,1.25,2.42,2O3JCRH7IvUUbzbxEvoVAi,,,,,tracks/2O3JCRH7IvUUbzbxEvoVAi.mp3,funk_soul
139,141,141,142,Faithless,Insomnia,6.88,7.31,2.12,2.69,8.25,5.19,4.5,36.19,4.88,5.45,4.84,20.53,0.79,1.0,1.75,7gWc0QEt2hoIkMv3XxPY1T,,,,,tracks/7gWc0QEt2hoIkMv3XxPY1T.mp3,electronic
140,142,142,143,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),14.0,10.06,25.06,6.88,11.41,32.53,40.06,13.82,5.41,13.48,36.29,9.62,0.83,1.59,2.59,36UVZPoK8a1Oxh13cY8kOp,,,,,tracks/36UVZPoK8a1Oxh13cY8kOp.mp3,rock
141,143,143,144,Bonobo,Nightlite,37.07,29.6,17.87,13.6,26.13,25.47,28.4,12.8,10.8,24.85,26.93,11.8,0.42,1.2,3.27,1gI1nC5E3ObyMtejdc8crP,,,,,tracks/1gI1nC5E3ObyMtejdc8crP.mp3,electronic
142,144,144,145,Flux Pavilion,I Can't Stop,25.53,32.0,10.84,11.21,14.26,38.68,42.47,31.21,5.21,18.77,40.58,18.21,0.8,2.0,2.79,5WSL7UTa38jMWoBzObD4BD,,,,,tracks/5WSL7UTa38jMWoBzObD4BD.mp3,electronic
143,145,145,146,Everything But the Girl,Low Tide Of The Night,29.83,23.08,34.5,26.25,43.42,26.0,11.83,4.25,1.0,31.42,18.92,2.62,0.74,1.17,3.0,06bJuoqZDzxSINQFREVLu0,,,,,tracks/06bJuoqZDzxSINQFREVLu0.mp3,electronic
144,146,146,147,Babybird,You're Gorgeous,13.56,2.38,15.0,4.38,22.69,24.06,2.94,0.88,6.75,11.6,13.5,3.81,0.69,1.94,2.38,5COBer69wpwkCPPaLr1gFb,,,,,tracks/5COBer69wpwkCPPaLr1gFb.mp3,pop
145,147,147,148,Wayne Newton,Danke Schoen,14.71,15.64,38.57,21.5,11.5,23.0,16.71,13.29,7.5,20.39,19.86,10.39,0.64,2.07,3.0,1BfbdFWT4wirsQ5BNgmN52,,,,,tracks/1BfbdFWT4wirsQ5BNgmN52.mp3,jazz
146,148,148,149,Phil Collins,Against All Odds (Take a Look at Me Now),34.0,21.54,52.77,41.54,31.69,16.62,21.69,0.62,20.31,36.31,19.15,10.46,0.84,3.77,3.62,63CHa6rmamv9OsehkRD8oz,,,,,tracks/63CHa6rmamv9OsehkRD8oz.mp3,rock
147,149,149,150,Nina Simone,That's All I Ask,24.33,17.6,38.07,43.67,29.67,15.27,18.87,6.4,34.87,30.67,17.07,20.63,0.77,1.27,2.93,5uI8omnLtzW4xTqJ5AoQtT,,,,,tracks/5uI8omnLtzW4xTqJ5AoQtT.mp3,jazz
148,150,150,151,Lacrimas Profundere,The Crown of Leaving,19.29,17.86,17.71,8.57,18.29,12.0,21.07,24.21,17.0,16.34,16.54,20.61,-0.39,1.14,2.07,7qNpAPSfPiLQ47cez2IpeW,,,,,tracks/7qNpAPSfPiLQ47cez2IpeW.mp3,rock
149,151,151,152,Nero,My Eyes,18.93,23.33,10.87,4.13,10.13,20.47,43.27,37.07,5.27,13.48,31.87,21.17,0.85,1.13,2.4,4gMIZhJUOCjmQxo1fwhhnK,,,,,tracks/4gMIZhJUOCjmQxo1fwhhnK.mp3,electronic
150,152,152,153,ATB,9pm (Till I Come),27.82,24.91,55.45,22.27,10.18,32.27,33.27,11.45,4.18,28.13,32.77,7.82,0.82,3.0,2.82,1CgbwsrNDlFrRuk2ebQ7zr,,,,,tracks/1CgbwsrNDlFrRuk2ebQ7zr.mp3,electronic
151,153,153,154,Elis Regina,Como Nossos Pais,20.31,16.56,16.44,23.38,14.62,21.44,19.69,9.19,17.88,18.26,20.56,13.53,-0.28,1.06,2.44,2ZC8sdv4Kvuql7Q9T8Agzv,,,,,tracks/2ZC8sdv4Kvuql7Q9T8Agzv.mp3,jazz
152,154,154,155,Burial,Untrue,10.28,15.83,15.5,7.94,14.06,23.33,21.61,21.11,6.44,12.72,22.47,13.78,0.35,1.22,2.11,1aaIYTqoRDzRUilU2Q6vTe,,,,,tracks/1aaIYTqoRDzRUilU2Q6vTe.mp3,electronic
153,155,155,156,Ella Fitzgerald,The Nearness Of You,30.08,16.58,62.75,36.42,65.33,22.25,11.58,3.83,13.83,42.23,16.92,8.83,0.89,1.58,3.58,39CdOo5GPGSIdxWDvyyWkr,,,,,tracks/39CdOo5GPGSIdxWDvyyWkr.mp3,jazz
154,156,156,157,Jessie Ware,Swan Song,15.0,11.08,11.46,19.92,34.38,9.0,6.31,11.15,18.69,18.37,7.65,14.92,0.62,1.0,2.85,708jomIP1WJkoinbSJxOGm,,,,,tracks/708jomIP1WJkoinbSJxOGm.mp3,funk_soul
155,157,157,158,The Cinematic Orchestra,Ma Fleur,17.31,14.94,26.25,27.62,42.5,10.5,11.69,8.25,19.88,25.73,11.09,14.06,0.74,1.0,2.5,3AqPL1n1wKc5DVFFnYuJhp,,,,,tracks/3AqPL1n1wKc5DVFFnYuJhp.mp3,electronic
156,158,158,159,Good Charlotte,March On,18.92,7.85,15.77,12.62,27.23,11.69,2.69,2.62,24.92,16.48,7.19,13.77,0.65,1.15,2.62,5aj1QFI3B492gzMXgioTqe,,,,,tracks/5aj1QFI3B492gzMXgioTqe.mp3,rock
157,159,159,160,Perlla,No Meu Comando,10.6,12.0,3.4,7.87,5.0,22.87,17.87,9.2,2.07,7.77,20.37,5.63,0.61,1.13,2.27,4A1xnjGKCJWxa6VnUHKdvl,,,,,tracks/4A1xnjGKCJWxa6VnUHKdvl.mp3,funk_soul
158,160,160,161,of Montreal,Oslo In The Summertime,14.68,13.53,14.37,12.79,18.05,26.42,13.26,21.32,11.53,14.68,19.84,16.42,0.28,1.47,2.68,3aWcuInJ6nPVUey0wDQQUL,,,,,tracks/3aWcuInJ6nPVUey0wDQQUL.mp3,pop
159,161,161,162,BANKS,Beggin for Thread,14.2,20.28,12.96,12.88,12.72,15.88,20.68,10.6,7.64,14.61,18.28,9.12,0.37,1.4,2.36,4PvD06Pmbm2rHG2JjSlElF,,,,,tracks/4PvD06Pmbm2rHG2JjSlElF.mp3,electronic
160,162,162,163,The Whispers,Rock Steady,14.53,13.0,32.35,14.59,13.41,40.82,22.24,7.12,2.76,17.58,31.53,4.94,0.86,2.06,3.06,1YCsTFttuHAzgfEWKdOb9K,,,,,tracks/1YCsTFttuHAzgfEWKdOb9K.mp3,funk_soul
161,163,163,164,Beyoncï¿½,Halo,33.47,31.73,54.93,39.13,25.8,34.87,58.87,18.4,16.6,37.01,46.87,17.5,0.76,4.73,3.93,4JehYebiI9JE8sR8MisGVb,,,,,tracks/4JehYebiI9JE8sR8MisGVb.mp3,pop
162,164,164,165,Passion Pit,Sleepyhead,9.22,12.72,14.78,4.67,10.39,34.33,18.11,19.89,1.94,10.36,26.22,10.92,0.79,1.28,2.61,4prEPl61C8qZpeo3IkYSMl,,,,,tracks/4prEPl61C8qZpeo3IkYSMl.mp3,electronic
163,165,165,166,Edwin McCain,I Could Not Ask for More,24.43,10.13,26.37,26.3,22.83,15.3,23.9,7.8,10.7,22.01,19.6,9.25,0.79,1.27,2.47,14J3PO0VnhtcRa31r7Aj1L,,,,,tracks/14J3PO0VnhtcRa31r7Aj1L.mp3,rock
164,166,166,167,Ace of Base,All That She Wants,19.53,22.29,46.82,20.06,23.82,59.18,28.35,5.41,12.12,26.51,43.76,8.76,0.88,3.59,3.53,6kWJvPfC4DgUpRsXKNa9z9,,,,,tracks/6kWJvPfC4DgUpRsXKNa9z9.mp3,pop
165,167,167,168,Duke Ellington,Sophisticated Lady,22.0,17.42,40.75,30.83,44.5,19.58,9.17,8.5,12.5,31.1,14.38,10.5,0.75,1.33,3.17,2ua1p76h5Yy2u3dVZ9Qb0l,,,,,tracks/2ua1p76h5Yy2u3dVZ9Qb0l.mp3,jazz
166,168,168,169,Sï¿½rgio Mendes,Mas que nada,15.56,17.33,16.0,12.17,30.78,37.33,20.67,14.28,2.11,18.37,29.0,8.19,0.69,3.22,3.28,6U7GUjtamt2P0LcFod1dBT,,,,,tracks/6U7GUjtamt2P0LcFod1dBT.mp3,jazz
167,169,169,170,Trailerpark,Schlechter Tag,26.83,33.67,5.67,7.92,7.42,36.0,3.92,18.67,0.0,16.3,19.96,9.33,0.67,2.0,3.17,,https://youtube.com/clip/Ugkxf5fmFiQEz9AO6cjfIswgzRsJmSFsHTQ4,Ugkxf5fmFiQEz9AO6cjfIswgzRsJmSFsHTQ4,0:19,1:01,tracks/Ugkxf5fmFiQEz9AO6cjfIswgzRsJmSFsHTQ4.mp3,hip_hop
168,170,170,171,Desiigner,Panda,40.0,10.5,1.17,15.5,12.17,45.58,37.42,14.25,1.58,15.87,41.5,7.92,0.76,4.25,3.83,275a9yzwGB6ncAW4SxY7q3,https://youtube.com/clip/UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O,UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O,0:39,1:09,tracks/UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O.mp3,hip_hop
169,171,171,172,NAS,Doo Rags,40.75,31.83,22.75,32.33,26.25,39.42,41.08,0.0,3.75,30.78,40.25,1.88,0.61,2.08,4.0,2XQrvYopdCkOenX4Z5CdV7,https://youtube.com/clip/UgkxHgPXHI3iwijH2ubl4ECPZWr71pOH2kNY,UgkxHgPXHI3iwijH2ubl4ECPZWr71pOH2kNY,0:17,1:11,tracks/UgkxHgPXHI3iwijH2ubl4ECPZWr71pOH2kNY.mp3,hip_hop
170,172,172,173,DMX,X Gon' Give It To Ya,28.18,12.09,15.82,14.55,15.09,62.09,62.18,0.0,1.09,17.15,62.14,0.55,0.87,3.91,4.18,1zzxoZVylsna2BQB65Ppcb,https://youtube.com/clip/UgkxMeHC_SJHx7meQn7dBLWcFSeJvrcjj8dO,UgkxMeHC_SJHx7meQn7dBLWcFSeJvrcjj8dO,0:20,1:03,tracks/UgkxMeHC_SJHx7meQn7dBLWcFSeJvrcjj8dO.mp3,hip_hop
171,173,173,174,Xatar,Meine Groï¿½e Liebe,10.82,27.18,0.0,15.45,1.0,22.91,27.18,6.73,0.0,10.89,25.05,3.36,0.52,2.0,2.64,7H1xPBRWYLhPGluTUDUYOw,https://youtube.com/clip/UgkxFhBctjHXvMsHAcraQU2xMxEYvWxFm_wL,UgkxFhBctjHXvMsHAcraQU2xMxEYvWxFm_wL,2:15,2:52,tracks/UgkxFhBctjHXvMsHAcraQU2xMxEYvWxFm_wL.mp3,hip_hop
172,174,174,175,Biggie Smalls,Hypnotize,44.58,21.58,33.42,12.92,28.25,39.17,23.0,12.25,0.0,28.15,31.08,6.12,0.53,3.58,3.83,6Tsu3OsuMz4KEGKbOYd6A0,https://youtube.com/clip/Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09,Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09,0:53,1:33,tracks/Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09.mp3,hip_hop
173,175,175,176,Salt-N-Pepa,Shoop,16.85,13.21,7.79,4.35,14.85,55.62,31.15,4.94,0.0,11.41,43.38,2.47,0.93,2.12,3.47,0Pu71wxadDlB8fJXfjIjeJ,https://youtube.com/clip/UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv,UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv,1:08,1:52,tracks/UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv.mp3,hip_hop
174,176,176,177,Prinz Pi,Laura,11.03,8.53,10.82,7.56,13.71,6.15,12.97,21.26,14.09,10.33,9.56,17.68,0.06,1.24,2.18,4pbTElMDaHrkLOfOv8nUdC,https://youtube.com/clip/UgkxKywj4WMS6UIR12bQWx3DD6jYhjU0j1Em,UgkxKywj4WMS6UIR12bQWx3DD6jYhjU0j1Em,1:40,2:26,tracks/UgkxKywj4WMS6UIR12bQWx3DD6jYhjU0j1Em.mp3,hip_hop
175,177,177,178,Black Eyed Peas,Where Is The Love,40.67,40.61,29.21,7.06,9.73,37.39,28.48,7.45,14.24,25.45,32.94,10.85,0.87,3.97,3.73,1FreAz1lmnDi5aKLB6GdFM,https://youtube.com/clip/UgkxAcAvpg9Rn3wufSr74nt2XWz5VAoqurTl,UgkxAcAvpg9Rn3wufSr74nt2XWz5VAoqurTl,1:38,2:23,tracks/UgkxAcAvpg9Rn3wufSr74nt2XWz5VAoqurTl.mp3,hip_hop
176,178,178,179,Blumio,Lass Mal ï¿½ber Haie Reden,10.56,11.22,2.41,5.56,11.89,39.78,27.59,23.96,3.33,8.33,33.69,13.65,0.84,1.22,2.7,2cdXF2fdd1q3wXg7VnxzEJ,,,,,tracks/2cdXF2fdd1q3wXg7VnxzEJ.mp3,hip_hop
177,179,179,180,Cyne,One Day,14.5,9.18,8.25,7.93,18.21,40.54,28.82,9.89,0.82,11.61,34.68,5.36,0.83,1.36,3.29,46cmIQKXy7Ric5yNZ2tzde,,,,,tracks/46cmIQKXy7Ric5yNZ2tzde.mp3,hip_hop
178,180,180,181,The Pharcyde,Passin' Me By,19.19,6.48,4.74,10.19,13.81,32.22,22.41,26.93,0.0,10.88,27.31,13.46,0.79,1.56,3.11,4G3dZN9o3o2X4VKwt4CLts,,,,,tracks/4G3dZN9o3o2X4VKwt4CLts.mp3,hip_hop
179,181,181,182,Gucci Mane,Tone It Down,11.11,10.21,0.0,7.96,19.43,40.21,29.5,25.46,1.04,9.74,34.86,13.25,0.84,1.57,2.61,0iTCmKvuU1ReULiQB0rI7n,https://youtube.com/clip/Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU,Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU,0:42,1:19,tracks/Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU.mp3,hip_hop
180,182,182,183,Jay-Z,The Story Of OJ,17.68,13.11,11.04,10.36,29.43,31.5,19.96,20.96,2.96,16.32,25.73,11.96,0.63,1.57,2.54,6JpN5w95em8SODPiM7W2PH,https://youtube.com/clip/Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_,Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_,1:00,1:41,tracks/Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_.mp3,hip_hop
181,183,183,184,2Pac,All Eyez On Me,14.14,10.43,11.75,15.07,28.64,26.32,20.57,21.18,1.21,16.01,23.45,11.2,0.54,1.93,2.75,4VQNCzfZ3MdHEwwErNXpBo,,,,,tracks/4VQNCzfZ3MdHEwwErNXpBo.mp3,hip_hop
182,184,184,185,K.I.Z.,Ein Affe und ein Pferd,12.13,8.53,3.87,7.2,11.17,35.1,33.57,40.37,0.0,8.58,34.33,20.18,0.88,2.53,2.43,3qM75mSV84LHHJqlITqZsk,https://youtube.com/clip/UgkxnE8-rmtVlOk9mjkXNUzj7cbG0RTr0goh,UgkxnE8-rmtVlOk9mjkXNUzj7cbG0RTr0goh,0:00,0:37,tracks/UgkxnE8-rmtVlOk9mjkXNUzj7cbG0RTr0goh.mp3,hip_hop
