artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
Duke Ellington,Sophisticated Lady,3,3,5,5,5,3,2,2,2,2ua1p76h5Yy2u3dVZ9Qb0l,,jazz,tracks/2ua1p76h5Yy2u3dVZ9Qb0l.mp3
MFSB,T.S.O.P. (The Sound Of Philadelphia),3,3,4,2,2,5,5,2,1,7kllQQPam6HumbUCIPSvHJ,,funk_soul,tracks/7kllQQPam6HumbUCIPSvHJ.mp3
Lily Allen,Smile,3,2,5,3,5,5,2,1,2,4aR9bPMAOFySBuQSbVWF3d,,pop,tracks/4aR9bPMAOFySBuQSbVWF3d.mp3
Dr. Dre,Nuthin' But A G thang,3,1,2,1,3,5,4,2,1,4YtoipFgf4k0AfD17ZfD5X,,hip_hop,tracks/4YtoipFgf4k0AfD17ZfD5X.mp3
Warning,Echoes,2,3,2,1,1,2,5,3,2,3GU59OzCMZvscGqSG4Lg0y,,rock,tracks/3GU59OzCMZvscGqSG4Lg0y.mp3
Taylor Swift,Look What You Made Me Do,2,2,1,2,1,5,5,3,1,1P17dC1amhFzptugyAO7Il,UgkxhNIkx010o6POamLFkc2AvaoO7G626kbK,pop,tracks/UgkxhNIkx010o6POamLFkc2AvaoO7G626kbK.mp3
Beethoven,Sinfonie Nr. 9,4,3,4,3,5,2,1,1,1,,UgkxvVpIoaNTe9zVvrjJp3fYNI_-qohSQHrz,classic,tracks/UgkxvVpIoaNTe9zVvrjJp3fYNI_-qohSQHrz.mp3
Maria Bethï¿½nia,Olhos Nos Olhos,4,2,3,5,5,2,2,1,4,1UBJvypv5W1GNoplpc2EYl,,jazz,tracks/1UBJvypv5W1GNoplpc2EYl.mp3
Gucci Mane,Tone It Down,2,2,1,2,3,5,4,4,1,0iTCmKvuU1ReULiQB0rI7n,Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU,hip_hop,tracks/Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU.mp3
Leslie Clio,I Couldnt Care Less,3,1,1,2,4,5,3,2,1,7kX5DiuPwRlYwPAHoOHFOg,UgkxGMWXLNbHAOlKnOYIo79nGA58qYbtqoDD,pop,tracks/UgkxGMWXLNbHAOlKnOYIo79nGA58qYbtqoDD.mp3
Hey Judeschka!,ImmerwiederSommertag,3,2,3,4,5,2,1,1,2,0Us9gRoh9xyD6aPSo1SBIR,UgkxWLVqzZ11njLTSueB2OPYpS2MgTWdFEDZ,pop,tracks/0Us9gRoh9xyD6aPSo1SBIR.mp3
Kylie Minogue,Skirt,2,2,2,2,1,5,5,4,1,4HS4veWZYPzHvEmVxrVEoy,,electronic,tracks/4HS4veWZYPzHvEmVxrVEoy.mp3
Vivaldi,L'Estro Armonico (Concerto No. 9),4,5,4,3,5,5,2,2,1,,UgkxNHh8ncrNUahwZ7U7s7JrSXY1o46PTT90,classic,tracks/UgkxNHh8ncrNUahwZ7U7s7JrSXY1o46PTT90.mp3
Ace of Base,Lucky Love,4,3,5,2,3,5,5,2,1,2O5MugeVVDlVs4ThMCy1Lm,,pop,tracks/2O5MugeVVDlVs4ThMCy1Lm.mp3
Eminem,Rap God,5,4,2,2,2,5,5,4,1,6or1bKJiZ06IlK0vFvY75k,UgkxrDhQWgXdqNyuTc7tw5ecNLbYAppxo_jj,hip_hop,tracks/UgkxrDhQWgXdqNyuTc7tw5ecNLbYAppxo_jj.mp3
Daft Punk,Give Life Back to Music,2,1,2,1,3,5,4,1,1,0dEIca2nhcxDUV8C5QkPYb,,funk_soul,tracks/0dEIca2nhcxDUV8C5QkPYb.mp3
Britney Spears,"I'm Not a Girl, Not Yet a Woman",5,5,5,5,4,5,5,2,3,1xg1yGPy1Y3YUf44s6TB1o,,pop,tracks/1xg1yGPy1Y3YUf44s6TB1o.mp3
Brett Dennen,She's Mine,3,2,3,5,5,4,1,2,1,5MnmTKjatNTY3BJ2DURVjE,UgkxGwAT62Ys-ElYvHeVhfu4CnuzlwX2YIta,pop,tracks/UgkxGwAT62Ys-ElYvHeVhfu4CnuzlwX2YIta.mp3
Die Orsons,Ventilator,2,1,1,1,1,4,1,3,1,5j9djud18VQob3Ec3FUoy0,UgkxGRvWV0EKHd0SfJ1IW6htTS0h35VmxMga,hip_hop,tracks/UgkxGRvWV0EKHd0SfJ1IW6htTS0h35VmxMga.mp3
Albinoni,"Concerto a cinque No. 2, Op. 9",4,4,4,4,5,4,4,1,1,0Ouz5wpLFbtXjAdxLRydQq,Ugkx7QaRr74MIB_wCxjYWqJA7eGohu68O2Gq,classic,tracks/Ugkx7QaRr74MIB_wCxjYWqJA7eGohu68O2Gq.mp3
Ed Sheeran,Happier,4,2,5,4,4,1,1,2,5,2RttW7RAu5nOAfq6YFvApB,,rock,tracks/2RttW7RAu5nOAfq6YFvApB.mp3
Beverley Knight,Hurricane Jane,4,3,5,5,5,4,4,1,1,4zcSLDrG6E0GkysBuh2fD3,,funk_soul,tracks/4zcSLDrG6E0GkysBuh2fD3.mp3
Donna Summer,Winter Melody,4,4,5,5,5,5,4,1,2,1zHOjqf8DqjNq6OB7Y5mrF,,funk_soul,tracks/1zHOjqf8DqjNq6OB7Y5mrF.mp3
Knife Party,Centipede,2,2,2,1,1,4,4,5,1,0u2AIKDVafHwCFQ9LDnqxH,,electronic,tracks/0u2AIKDVafHwCFQ9LDnqxH.mp3
B.J. Thomas,Rock And Roll Lullaby,2,2,5,4,5,3,1,1,2,3aVNV6pawEERvfdurW66ZT,,rock,tracks/3aVNV6pawEERvfdurW66ZT.mp3
Lola Marsh,Wishing Girl,3,3,2,2,4,3,1,2,1,2iawlVRHk4Q9aPg0OgG20D,UgkxryzdwbzDKWLWBfxb50LhzI49iot0WfJg,pop,tracks/UgkxryzdwbzDKWLWBfxb50LhzI49iot0WfJg.mp3
Passion Pit,Sleepyhead,2,2,2,1,2,5,3,3,1,4prEPl61C8qZpeo3IkYSMl,,electronic,tracks/4prEPl61C8qZpeo3IkYSMl.mp3
Itamar Assumpï¿½ï¿½o,Beijo na Boca,3,1,2,2,4,5,3,1,1,034M638G8hvIQ5WfSxJ9gS,,funk_soul,tracks/034M638G8hvIQ5WfSxJ9gS.mp3
Michael Learns to Rock,Paint My Love,3,2,5,5,5,3,1,1,3,523iOSL6R2OomhVMGcfxdy,,pop,tracks/523iOSL6R2OomhVMGcfxdy.mp3
Tonight Alive,Let It Land,2,4,5,1,2,5,5,3,2,3aKPJyIFrJAPTPWs2yy0IX,,rock,tracks/3aKPJyIFrJAPTPWs2yy0IX.mp3
Kylie Minogue,Please Stay (7th District Radio Mix),2,2,2,1,2,5,5,3,1,5MqHbBqicUU0wyXwk7TJR7,,pop,tracks/5MqHbBqicUU0wyXwk7TJR7.mp3
October Tide,Blackness Devours,3,4,1,1,1,2,5,5,3,5KjDr2aEWTdOxdOs4gcuac,,rock,tracks/5KjDr2aEWTdOxdOs4gcuac.mp3
Boys Like Girls,Leaving California,4,3,4,5,5,2,2,1,5,0Vm3wrODAsNdUvCcy15aZT,,rock,tracks/0Vm3wrODAsNdUvCcy15aZT.mp3
Tom Doolie,Blue Book,2,2,5,4,5,2,1,2,1,3E4LT4SvrEhGKIzyAeezEa,,hip_hop,tracks/3E4LT4SvrEhGKIzyAeezEa.mp3
Chain Smokers,Paris,4,1,5,4,4,4,2,1,1,15vzANxN8G9wWfwAJLLMCg,UgkxVjM_EF_78oGI1czS-hLHl4C7_Y9IRM80,pop,tracks/UgkxVjM_EF_78oGI1czS-hLHl4C7_Y9IRM80.mp3
Lana Del Rey,Born to Die,3,2,5,4,4,1,2,2,5,487OPlneJNni3NWC8SYqhW,,pop,tracks/487OPlneJNni3NWC8SYqhW.mp3
Bjï¿½rk,Enjoy,4,3,3,2,1,2,5,5,2,6JQVN9gi04NCK1tiz0aQA1,,electronic,tracks/6JQVN9gi04NCK1tiz0aQA1.mp3
Bag Raiders,Shooting Stars,5,2,4,2,4,5,3,2,1,0UeYCHOETPfai02uskjJ3x,UgkxAR8m_aazONenJf1M02Bo3_Zb65m0lLtH,pop,tracks/UgkxAR8m_aazONenJf1M02Bo3_Zb65m0lLtH.mp3
A$AP Rocky,Fashion Killa,1,2,2,2,2,3,2,3,1,0O3TAouZE4vL9dM5SyxgvH,Ugkxu0uQao7t41a26OSEZ7X5EmP5WVH8UbUs,hip_hop,tracks/Ugkxu0uQao7t41a26OSEZ7X5EmP5WVH8UbUs.mp3
Mariah Carey,Want You,2,2,3,3,4,3,4,2,2,0bYg9bo50gSsH3LtXe2SQn,,funk_soul,tracks/0bYg9bo50gSsH3LtXe2SQn.mp3
Katy B,Katy on a Mission,2,2,1,1,1,2,4,2,1,47uhrF6IvyE2eUyyfLAEzf,,electronic,tracks/47uhrF6IvyE2eUyyfLAEzf.mp3
Grieg,Norwegische Tï¿½nze,4,5,1,1,2,5,5,5,1,,Ugkxcc9YKG2q1GfRf8iIrnDt57MeAktVbXQ4,classic,tracks/Ugkxcc9YKG2q1GfRf8iIrnDt57MeAktVbXQ4.mp3
Verdi,der Troubadour,3,3,1,2,3,5,4,2,1,,UgkxKBHZ5fuExQ4dwhTRRQtwxOKePzXeczYe,classic,tracks/UgkxKBHZ5fuExQ4dwhTRRQtwxOKePzXeczYe.mp3
Neil Diamind,Sweet Caroline,5,4,4,3,1,5,3,1,1,62AuGbAkt8Ox2IrFFb8GKV,UgkxjzSMRMlrs2X84JF4whcxtQHzyLmCcxVw,pop,tracks/UgkxjzSMRMlrs2X84JF4whcxtQHzyLmCcxVw.mp3
Christina Aguilera,I Got Trouble,2,2,4,4,5,4,4,2,1,6eRY1OgTVUeqtyEviApFaw,,jazz,tracks/6eRY1OgTVUeqtyEviApFaw.mp3
Gotye,Somebody That I Used To Know,4,3,5,3,4,5,2,1,3,6md4w95cnKaW64JyEQ3A0L,UgkxsFY5Is4EMbq6uLHMb3uhqEaJ4CP6_bkH,pop,tracks/UgkxsFY5Is4EMbq6uLHMb3uhqEaJ4CP6_bkH.mp3
Killer Mike,A.D.I.D.A.S.,3,1,1,1,3,5,2,2,1,3ghaPXI1bdNDeYpfCEv1Gw,UgkxiSdeQAHTlSYSQp1Dzp5rOMLKzJAF_m_3,hip_hop,tracks/UgkxiSdeQAHTlSYSQp1Dzp5rOMLKzJAF_m_3.mp3
Keane,Everybodys Changing,4,3,5,2,5,5,2,1,2,0yac0FPhLRH9i9lOng3f81,UgkxfFTfgRA8-ahZmKesCxkX_XPNf-1VVkZT,pop,tracks/UgkxfFTfgRA8-ahZmKesCxkX_XPNf-1VVkZT.mp3
Luis Fonsi,Despacito,4,2,3,4,1,5,4,2,1,6habFhsOp2NvshLv26DqMb,Ugkx3aqdcQliJn9s6shIu043MT1wM_GcAsyy,pop,tracks/Ugkx3aqdcQliJn9s6shIu043MT1wM_GcAsyy.mp3
Chico Buarque,Tatuagem,2,1,2,3,5,1,1,1,2,2eNz0RVTnVhleCBrZETeDG,,jazz,tracks/2eNz0RVTnVhleCBrZETeDG.mp3
Soul Position,Priceless,2,1,1,1,3,5,1,2,1,7I4ozG1g4D5H7FvKkMe27n,UgkxYUpu9BAz8-d7_Q0IPPLGibsj2-B7BOm8,hip_hop,tracks/UgkxYUpu9BAz8-d7_Q0IPPLGibsj2-B7BOm8.mp3
Theo Katzman,Hard Work,5,2,2,1,4,5,4,2,1,3gaQbhacVKwcsatM0FlSa9,UgkxyJdSony6HQWT6pYQpQ9dGRDLBtYb_ecO,pop,tracks/UgkxyJdSony6HQWT6pYQpQ9dGRDLBtYb_ecO.mp3
Debussy,Prï¿½lude ï¿½ l'aprï¿½s-midi d'un faune,5,4,5,3,5,3,1,2,2,,Ugkxw_ODJk-gald0IEzFtiGG9KHY9Ch9TmIg,classic,tracks/Ugkxw_ODJk-gald0IEzFtiGG9KHY9Ch9TmIg.mp3
Ella Fitzgerald,The Nearness Of You,4,3,5,5,5,3,2,1,2,39CdOo5GPGSIdxWDvyyWkr,,jazz,tracks/39CdOo5GPGSIdxWDvyyWkr.mp3
Mac Demarco,Salad Days,2,2,2,3,5,2,1,2,2,5VdaMUzoQetwxQwtWAd022,UgkxEzsxY4JhCdP_WCCAMgxR5_3sXfrhvJ6r,pop,tracks/UgkxEzsxY4JhCdP_WCCAMgxR5_3sXfrhvJ6r.mp3
Stevie Wonder,I Just Called to Say I Love You,4,2,5,5,5,5,2,1,2,6RNDeRnWsRMjPdNVgupZCs,,funk_soul,tracks/6RNDeRnWsRMjPdNVgupZCs.mp3
Travis Scott,Antidote,2,2,2,1,2,5,4,3,1,1wHZx0LgzFHyeIZkUydNXq,UgkxH_KgkMKJXtZ87XO7APEaNnSMxNi5L-3n,hip_hop,tracks/UgkxH_KgkMKJXtZ87XO7APEaNnSMxNi5L-3n.mp3
Toto,Hold the Line,3,4,3,1,1,5,5,3,1,4aVuWgvD0X63hcOCnZtNFA,,rock,tracks/4aVuWgvD0X63hcOCnZtNFA.mp3
Michael Jackson,Love Never Felt So Good,3,3,3,4,1,5,5,1,1,48td6xvpokdYwvbl3JIiXP,,funk_soul,tracks/48td6xvpokdYwvbl3JIiXP.mp3
Lakeside,Fantastic Voyage,3,2,3,1,2,5,4,2,1,0rc9Uwm4vmnQEfx5omLWWF,,funk_soul,tracks/0rc9Uwm4vmnQEfx5omLWWF.mp3
C.C. Catch,Strangers By Night,4,3,5,4,2,5,4,2,3,2fkWRtyjRGehSPjfWPxSjC,,pop,tracks/2fkWRtyjRGehSPjfWPxSjC.mp3
Rihanna,Work,2,1,1,2,2,5,3,2,1,72TFWvU3wUYdUuxejTTIzt,Ugkx-Gw9o8IZlUypDB7WXEGl557bAxwpnJDF,pop,tracks/Ugkx-Gw9o8IZlUypDB7WXEGl557bAxwpnJDF.mp3
Leona Lewis,Bleeding Love,3,2,5,5,4,4,5,1,3,7wZUrN8oemZfsEd1CGkbXE,,pop,tracks/7wZUrN8oemZfsEd1CGkbXE.mp3
Above & Beyond,Alchemy,3,5,1,2,3,3,4,2,2,0Xm3H8qUhiUALrZYJyf61f,,electronic,tracks/0Xm3H8qUhiUALrZYJyf61f.mp3
Ben E. King,Stand By Me,5,5,5,5,5,5,3,1,5,3SdTKo2uVsxFblQjpScoHy,,funk_soul,tracks/3SdTKo2uVsxFblQjpScoHy.mp3
Oasis,Don't Look Back In Anger,3,2,5,4,4,4,1,2,2,7ppPZa3TRUSGKaks9wH7VT,UgkxGLHNNhV7rad3bX2cNrSRHsnwCODOvyfH,pop,tracks/UgkxGLHNNhV7rad3bX2cNrSRHsnwCODOvyfH.mp3
Paul Davis,Cool Night,4,3,5,5,5,3,3,1,2,29KyVqHekckVGfxHn8QS7m,,rock,tracks/29KyVqHekckVGfxHn8QS7m.mp3
Nicki Minaj,Moment 4 Life,2,4,1,1,1,5,5,2,1,1ia019RqDK2o4QiANR1Dyn,UgkxhOH25PgSEUkU5mNTRLHHQ-V3kL7OKMyU,hip_hop,tracks/UgkxhOH25PgSEUkU5mNTRLHHQ-V3kL7OKMyU.mp3
Cheryl Lynn,Got To Be Real,3,2,4,2,2,5,4,3,1,58r4JuwHhXLAkttkaUZfLw,,funk_soul,tracks/58r4JuwHhXLAkttkaUZfLw.mp3
Namika,Lieblingsmensch,4,2,3,3,4,5,2,1,1,6oHDvarQSp0mf5AD1SyNH0,UgkxqVu8pqoC_JLiPG0UHV9Ch31JWCxVjNSp,pop,tracks/UgkxqVu8pqoC_JLiPG0UHV9Ch31JWCxVjNSp.mp3
Rachmaninow,Paganini Variations No. 18,5,2,5,4,5,4,1,1,1,,Ugkx-9RvVXKd6gOUhxagD894QCLuSQ29m1fU,classic,tracks/Ugkx-9RvVXKd6gOUhxagD894QCLuSQ29m1fU.mp3
BBou,Kanona,2,1,1,2,1,2,2,3,1,,Ugkx_GQpNV2nvUVSHHAdncjVQHIqQ_7MUNwf,hip_hop,tracks/Ugkx_GQpNV2nvUVSHHAdncjVQHIqQ_7MUNwf.mp3
N.E.R.D,Lemon,2,1,1,1,1,4,4,3,1,2LKlHBPHxLG5ArAXfF148n,UgkxZ_b33llhim3tA6TNrlUfEUDUNHizlvHW,hip_hop,tracks/UgkxZ_b33llhim3tA6TNrlUfEUDUNHizlvHW.mp3
Chris Rea,Fool (If You Think It's Over),2,2,5,4,5,5,1,1,2,0UHiH4dy1hXULYl8CgNxRV,,rock,tracks/0UHiH4dy1hXULYl8CgNxRV.mp3
Doris Day,Dream a Little Dream of Me,4,2,5,5,5,2,1,1,3,2HyPrPSANTIPkR6CfiytwY,,jazz,tracks/2HyPrPSANTIPkR6CfiytwY.mp3
Lianne La Havas,What You Don't Do,3,2,1,3,2,5,3,2,1,4mityPmJpqtHea3y9qZLg6,UgkxddAnp6m4kzA6iMpgHBC-9slf5WbZaUXQ,pop,tracks/4mityPmJpqtHea3y9qZLg6.mp3
Elton John,Don't Go Breaking My Heart,5,3,4,2,5,5,5,1,1,7HW5WIw7ZgZORCzUxv5gW5,UgkxZiqeddPuUzbbBI1OrBqMZdSXJJ9vcqrD,pop,tracks/UgkxZiqeddPuUzbbBI1OrBqMZdSXJJ9vcqrD.mp3
Ellie Goulding,Burn,3,3,2,2,2,5,4,1,1,2GgxS8bUT5G25QJTsfSv0R,UgkxmuHMNHsXBXefloeDyAVJIFh_i5O8Qdxs,pop,tracks/UgkxmuHMNHsXBXefloeDyAVJIFh_i5O8Qdxs.mp3
Perlla,No Meu Comando,2,2,1,2,1,4,3,2,1,4A1xnjGKCJWxa6VnUHKdvl,,funk_soul,tracks/4A1xnjGKCJWxa6VnUHKdvl.mp3
Avril Lavigne,Complicated,2,3,5,2,3,5,4,1,2,5xEM5hIgJ1jjgcEBfpkt2F,UgkxuBVPqF9HZrtcJEF8rMIYYpIpE-L4pVku,pop,tracks/UgkxuBVPqF9HZrtcJEF8rMIYYpIpE-L4pVku.mp3
Dexter,Everyday Like This,2,1,1,2,2,4,2,3,1,1IjtbDa43lCjIbClrprdrP,,hip_hop,tracks/1IjtbDa43lCjIbClrprdrP.mp3
Chaka Khan,Tearin' It Up,4,3,4,2,2,5,5,2,1,7Hag038sye6QGKPZoJpXwU,,funk_soul,tracks/7Hag038sye6QGKPZoJpXwU.mp3
ABBA,Lay All Your Love on Me,3,5,5,5,2,5,5,3,3,2245x0g1ft0HC7sf79zbYN,,pop,tracks/2245x0g1ft0HC7sf79zbYN.mp3
Solitude Aeturnus,Seeds of the Desolate,1,2,2,1,1,1,3,5,1,7emF3lKU8NmkrlmDXUTYER,,rock,tracks/7emF3lKU8NmkrlmDXUTYER.mp3
Akon,Lonely,4,1,5,3,3,4,1,1,3,4v7DCN09hgXkKazefkznDQ,Ugkx5Nbr6OxWbldg37V8L7Gmto0Ncrnq_rbv,pop,tracks/Ugkx5Nbr6OxWbldg37V8L7Gmto0Ncrnq_rbv.mp3
Michael Bublï¿½,Feeling Good,2,2,5,3,4,2,2,2,1,3I09LQbHS3NSU46Ly3tPpR,,jazz,tracks/3I09LQbHS3NSU46Ly3tPpR.mp3
Portishead,Glory Box,4,3,5,5,4,3,2,1,2,3Ty7OTBNSigGEpeW2PqcsC,,electronic,tracks/3Ty7OTBNSigGEpeW2PqcsC.mp3
Good Charlotte,March On,3,2,2,2,4,2,1,1,4,5aj1QFI3B492gzMXgioTqe,,rock,tracks/5aj1QFI3B492gzMXgioTqe.mp3
Nat King Cole,Orange Colored Sky,5,2,5,5,3,5,5,2,1,6fUDNcmsnnUVyOtEnA9xdC,,jazz,tracks/6fUDNcmsnnUVyOtEnA9xdC.mp3
M2M,Don't Say You Love Me,2,2,4,4,3,5,1,1,1,65i1UPsUtPlEVzewEZR6sY,,pop,tracks/65i1UPsUtPlEVzewEZR6sY.mp3
Ashlee Simpson,Beautifully Broken,3,2,3,3,2,4,3,1,3,0Z5TwodaWvDGq43AVdnKzn,,pop,tracks/0Z5TwodaWvDGq43AVdnKzn.mp3
Bruno Mars,Treasure,4,2,4,3,2,5,5,2,1,55h7vJchibLdUkxdlX3fK7,,funk_soul,tracks/55h7vJchibLdUkxdlX3fK7.mp3
Sarah Vaughan,He's My Guy,3,2,4,4,5,5,4,1,1,5Po3D0fxlUpQTciXYWOmnJ,,jazz,tracks/5Po3D0fxlUpQTciXYWOmnJ.mp3
Cyne,One Day,2,2,2,2,3,5,4,2,1,46cmIQKXy7Ric5yNZ2tzde,,hip_hop,tracks/46cmIQKXy7Ric5yNZ2tzde.mp3
Beethoven,"Sonate Nr. 8, 2. Satz",3,4,5,5,5,1,1,1,4,,UgkxMr_kC15HJ_96um1vERtcnQbVWTByXf_r,classic,tracks/UgkxMr_kC15HJ_96um1vERtcnQbVWTByXf_r.mp3
Donna Summer,Autumn Changes,1,1,2,3,2,5,3,2,2,4LldsyhaiUL5tcP5uxDBkx,,funk_soul,tracks/4LldsyhaiUL5tcP5uxDBkx.mp3
Shakira,Underneath your clothes,2,1,4,4,5,3,1,1,1,15f8Cv8RXUlOOCIf2oaceN,UgkxoXLglRH8n4Kx6C91YXsPk-v5_tk69Ba7,pop,tracks/UgkxoXLglRH8n4Kx6C91YXsPk-v5_tk69Ba7.mp3
Puccini,Messa di Gloria,3,2,2,2,2,3,3,1,1,,UgkxGxCmVKzTT8XqOWWJlHGisGcOp_IpY5Kc,classic,tracks/UgkxGxCmVKzTT8XqOWWJlHGisGcOp_IpY5Kc.mp3
Twentyone Pilots,Lane Boy,3,2,1,1,2,4,5,1,1,2P61EK6DMGyVyssLWS4fKy,Ugkx6eec1x4NPyH_99Itv46s6pLeG_41gm9x,hip_hop,tracks/Ugkx6eec1x4NPyH_99Itv46s6pLeG_41gm9x.mp3
Zendaya,Only When You're Close,2,2,2,1,2,1,3,4,3,7BhxxlLcCCfvixzy8KExZv,,electronic,tracks/7BhxxlLcCCfvixzy8KExZv.mp3
Schumann,Fantasie in C-Dur,4,4,5,3,5,3,2,1,1,,UgkxBPp9LjwU7gLOe1-5XELHnxiPMvjcs21p,classic,tracks/UgkxBPp9LjwU7gLOe1-5XELHnxiPMvjcs21p.mp3
Dido,White Flag,2,3,5,4,5,3,1,2,2,6si71supnBUhddjR2FJc2L,UgkxnYU_OFSe4XiAc_DMg7cgtb4VSIZP6bC4,pop,tracks/UgkxnYU_OFSe4XiAc_DMg7cgtb4VSIZP6bC4.mp3
Flux Pavilion,I Can't Stop,4,5,2,2,2,5,5,5,1,5WSL7UTa38jMWoBzObD4BD,,electronic,tracks/5WSL7UTa38jMWoBzObD4BD.mp3
Sly & The Family Stone,Everyday People,3,2,5,5,5,5,5,2,2,7lL2lMWNtzOcf5HnEudNgn,,funk_soul,tracks/7lL2lMWNtzOcf5HnEudNgn.mp3
Seal,Kiss From A Rose,4,4,5,5,5,4,4,2,2,3YKptz29AsOlm7WAVnztBh,,pop,tracks/3YKptz29AsOlm7WAVnztBh.mp3
AedFX,Warning,2,2,1,1,2,5,3,5,1,3mHgqUyhKCBo2PKh18sWeo,,hip_hop,tracks/3mHgqUyhKCBo2PKh18sWeo.mp3
Phoenix,1901,2,2,4,1,1,5,4,2,1,3FM33HqRlV7J1QJoPOnd2u,,pop,tracks/3FM33HqRlV7J1QJoPOnd2u.mp3
Obie Trice,Got some Teeth,1,2,2,1,2,5,5,3,1,7tszeVkfxO5ISkjZWpIG88,UgkxwngwihkN9iE0tExYaydT7DaUT-rgeFqa,hip_hop,tracks/UgkxwngwihkN9iE0tExYaydT7DaUT-rgeFqa.mp3
Sam Smith,Lay Me Down,4,4,5,5,5,1,1,1,5,74sb4Gib0cL3TQeCjYF8vh,UgkxS5U7oeRan4QoSfBpMwZjO23sGjBlHj3Z,pop,tracks/UgkxS5U7oeRan4QoSfBpMwZjO23sGjBlHj3Z.mp3
Lauran Hibberd,Sugardaddy,1,2,3,3,3,5,3,2,1,6eXsSF9ufDWqnCJC4GVIsj,,pop,tracks/6eXsSF9ufDWqnCJC4GVIsj.mp3
The Weeknd,The Town,4,3,2,3,2,2,3,4,2,7jGr8wzgwOVLuktY66qM5f,,electronic,tracks/7jGr8wzgwOVLuktY66qM5f.mp3
Yung Hurn,Bianco,2,1,1,1,3,3,1,4,1,1vfVPUkl5v0HXWCEgQJHOf,Ugkx5iVePlCYZzdnY4V8kkaoil1K4vkCmpyC,hip_hop,tracks/Ugkx5iVePlCYZzdnY4V8kkaoil1K4vkCmpyC.mp3
Avril Lavigne,SpongeBob SquarePants Theme,1,1,4,1,2,5,4,3,1,0il663f3f63cvsRJtGmdO2,,rock,tracks/0il663f3f63cvsRJtGmdO2.mp3
Santigold,Disparate Youth,4,3,4,3,3,5,5,3,1,0t2QiRkpag0fAgs9zuCPlH,,electronic,tracks/0t2QiRkpag0fAgs9zuCPlH.mp3
Jay-Z,99 Problems,2,2,1,1,2,5,5,3,1,7IdFdRlCjUi6kkhbPoRfnw,Ugkx57VaIZOdBBg6E3ZPJxd9Ej8E7jqqCyqQ,hip_hop,tracks/Ugkx57VaIZOdBBg6E3ZPJxd9Ej8E7jqqCyqQ.mp3
Gnarls Barkley,Crazy,4,3,3,2,5,5,4,2,1,1vxw6aYJls2oq3gW0DujAo,UgkxURrovlQ8eMOBWDrOOu1soG2CoeI5XVan,pop,tracks/UgkxURrovlQ8eMOBWDrOOu1soG2CoeI5XVan.mp3
Madeleine Peyroux,To Love You All Over Again,3,3,5,4,5,2,1,1,4,4EPwpBN0t11bIxjsAI8oaF,,jazz,tracks/4EPwpBN0t11bIxjsAI8oaF.mp3
Legiï¿½o Urbana,Meninos E Meninas,2,3,4,2,1,5,3,2,1,22LN0RwHqTUJcIN4dzzB6N,,rock,tracks/22LN0RwHqTUJcIN4dzzB6N.mp3
Lamb,Heaven,2,3,4,2,2,2,4,2,2,0bjTW3zBohWdYy2z1Sf5hJ,,electronic,tracks/0bjTW3zBohWdYy2z1Sf5hJ.mp3
Blur,Girls & Boys,2,1,4,1,1,4,2,2,1,5CeL9C3bsoe4yzYS1Qz8cw,,pop,tracks/5CeL9C3bsoe4yzYS1Qz8cw.mp3
Emma Bunton,Take My Breath Away,2,1,3,5,3,2,1,1,1,0wVPsQNQ4tsjTTf2LIdOA7,,pop,tracks/0wVPsQNQ4tsjTTf2LIdOA7.mp3
Logic,Black Spiderman,2,2,2,2,2,5,3,3,1,7BKUWh5sdtdS17crohRe4L,Ugkxpj2Jw4BiyVImQSw49snNHiZqIGXXXYfX,hip_hop,tracks/Ugkxpj2Jw4BiyVImQSw49snNHiZqIGXXXYfX.mp3
Vivaldi,Die 4 Jahreszeiten (Winter),4,4,2,1,2,4,4,4,1,,Ugkx-e3GiNyUxYwCNCIaH0akhND12-LBIbdL,classic,tracks/Ugkx-e3GiNyUxYwCNCIaH0akhND12-LBIbdL.mp3
Djavan,Serrado,2,1,2,2,4,5,2,2,1,7EjRiBMib2EG0cdMEXavbC,,jazz,tracks/7EjRiBMib2EG0cdMEXavbC.mp3
Summer Heart,I Wanna Go,4,5,5,3,4,5,3,1,2,3EA4HwrlLdDJ3b4cX7JfqC,,pop,tracks/3EA4HwrlLdDJ3b4cX7JfqC.mp3
OutKast,Ms. Jackson,4,1,5,1,1,5,2,2,1,0I3q5fE6wg7LIfHGngUTnV,,hip_hop,tracks/0I3q5fE6wg7LIfHGngUTnV.mp3
Cult of Luna,Finland,2,3,1,1,2,2,5,5,2,3N8cK1O5u0RawDBbP4a0hc,,rock,tracks/3N8cK1O5u0RawDBbP4a0hc.mp3
Desiigner,Panda,5,2,1,2,2,5,5,2,1,275a9yzwGB6ncAW4SxY7q3,UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O,hip_hop,tracks/UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O.mp3
